Feature,Average_P,Best_P,Average_F,Best_F,Stability
BTC_Return_Lag1,0.317444870252667,0.00016192751878300437,1.7476955344185114,7.662279694683997,0.5692307692307692
BB_Upper,0.33582801021572095,4.906375457172753e-05,1.7721942219948974,7.087294838411843,0.46153846153846156
BTC_Return_Lag3,0.36985184283135375,1.1693708729068626e-07,1.7256211221309816,18.4636176732863,0.46153846153846156
SP500_Return_Lag1,0.3233928028767411,7.342449095003656e-05,1.916449153919194,9.70544771676589,0.4461538461538462
BTC_Close,0.32243274802913136,2.440402612498171e-05,1.6337095458988422,6.344958515646825,0.4307692307692308
BB_Lower,0.3467050809252532,0.00018764300303626978,1.5933595850099214,6.630693452481256,0.4
MACD,0.41065664987906736,0.0010105550410627274,1.3138961747394862,6.6337983087159085,0.4
MACD_SIGNAL,0.4272292902260061,0.00010181169175140349,1.2933822237179002,6.947154241695083,0.4
Gold_Close,0.28217441397795684,3.602175970148489e-07,1.9723375372247394,12.227491162267928,0.38461538461538464
SP500_Return,0.35356043299647394,0.0001670279367021841,1.6698300142753306,10.213767345941463,0.36923076923076925
SP500_Close,0.35364077561578194,0.00016992670384383132,1.6698230023871392,10.225772919514238,0.36923076923076925
BTC_Return_Lag5,0.43188602794970377,4.839355087076596e-09,1.77659137959709,18.060052689034713,0.3076923076923077
Gold_Return,0.3518448574297242,9.700802649439908e-06,1.67194774439695,12.320179949062576,0.3076923076923077
BB_Width,0.39923955920907084,8.299870733887289e-06,1.586939578874975,11.981348249096818,0.3076923076923077
USDX_Close,0.36883066501243716,0.0002985572672114497,1.4632616577813242,7.6837755036211135,0.3076923076923077
SMA_10,0.3590832120808073,0.0002108982732483297,1.550559509565311,8.611129901467361,0.2923076923076923
Volatility_20,0.40120959047683946,3.3892916568629344e-05,1.4724222188724223,7.810162574262981,0.2923076923076923
SMA_50,0.4685424977146958,0.00012144456179505058,1.2511636263554593,7.247715397026772,0.2923076923076923
SP500_Return_Lag5,0.4115784541419905,4.2513697037449473e-07,1.3628150854518275,8.297477914858165,0.26153846153846155
Gold_Return_Lag3,0.4121590767597375,0.0007677962457053964,1.318328898750895,7.6084002208554775,0.26153846153846155
SP500_Return_Lag3,0.38396926168256706,5.062496600577756e-06,1.529589428313427,9.623415937403996,0.24615384615384617
USDX_Return_Lag5,0.4145440688049507,0.00021614834299577473,1.31196921809195,6.799396297044068,0.24615384615384617
MACD_HIST,0.42357727871595224,0.0002511789663805173,1.2341769493412484,5.956340415245457,0.23076923076923078
SMA_20,0.41972834212192645,0.0032367214334101725,1.2175340378312443,5.500716235406674,0.23076923076923078
Gold_Return_Lag1,0.4000189464130482,1.9983974369581193e-05,1.3182062242108836,11.061588280218082,0.2153846153846154
USDX_Return,0.42007018149907654,0.0016271166493645854,1.2673757155735832,8.310258519268501,0.2153846153846154
Volatility_50,0.38560533576868516,0.0011367232889236917,1.3437731715484,6.873697440455126,0.2
Gold_Return_Lag5,0.4363361618522107,0.0001181201958669362,1.257735393354387,9.796202518731704,0.18461538461538463
USDX_Return_Lag1,0.4344690658805934,0.006298040451199957,1.155861016959341,5.475036372180801,0.13846153846153847
BTC_Gold_Corr,0.46951578630843904,0.001319005104284422,1.1419945935800209,6.748388378576562,0.13846153846153847
BTC_USDX_Corr,0.5326767315479197,0.0008071654936051485,0.9944972302085224,7.158478560575975,0.13846153846153847
USDX_Return_Lag3,0.4704697606321039,0.009677960382188416,1.0417229030593342,6.745430948634425,0.1076923076923077
Market_Regime,0.4672067904014801,0.012510679933418574,1.00428898055209,4.645289681503733,0.07692307692307693
BTC_SP500_Corr,0.48890838409502024,0.008285127634985956,0.9974967272921224,7.027117791990648,0.07692307692307693
RSI,0.5697392221412472,0.019000533347030522,0.7952276201362009,4.082561813384798,0.07692307692307693
